playerId,season,name,team,position,penalties_rank
8480950,2023,Ilya Lyubushkin,TOR,D,10.989010989010993
8480860,2023,Kevin Bahl,NJD,D,4.029304029304029
8476473,2023,Connor Murphy,CHI,D,26.007326007326
8481743,2023,Marc Del Gaizo,NSH,D,97.8021978021978
8480803,2023,Evan Bouchard,EDM,D,70.69597069597069
8477851,2023,Jordan Oesterle,CGY,D,84.43223443223444
8478396,2023,Noah Hanifin,VGK,D,60.256410256410255
8477244,2023,Chad Ruhwedel,NYR,D,91.20879120879121
8470600,2023,Ryan Suter,DAL,D,28.57142857142857
8477018,2023,Ben Hutton,VGK,D,64.1025641025641
8476931,2023,Jake McCabe,TOR,D,30.036630036630044
8481719,2023,Maxwell Crozier,TBL,D,84.43223443223444
8476892,2023,Colton Parayko,STL,D,73.99267399267399
8477034,2023,Jaycob Megna,CHI,D,8.791208791208788
8479998,2023,Mikey Anderson,LAK,D,90.47619047619048
8477950,2023,Tony DeAngelo,CAR,D,84.43223443223444
8482245,2023,Artem Zub,OTT,D,31.501831501831504
8478407,2023,Vince Dunn,SEA,D,26.373626373626365
8483490,2023,Pavel Mintyukov,ANA,D,94.50549450549451
8478451,2023,Ethan Bear,WSH,D,8.058608058608058
8480035,2023,Henri Jokiharju,BUF,D,50.54945054945055
8480049,2023,Dylan Samberg,WPG,D,43.58974358974359
8481521,2023,Ronnie Attard,PHI,D,3.663003663003664
8474151,2023,Ryan McDonagh,NSH,D,69.96336996336996
8476917,2023,Adam Pelech,NYI,D,73.07692307692308
8478450,2023,Parker Wotherspoon,BOS,D,77.28937728937728
8475233,2023,David Savard,MTL,D,34.06593406593407
8478013,2023,Jake Walman,DET,D,60.256410256410255
8477220,2023,Nate Schmidt,WPG,D,64.46886446886447
8479442,2023,Troy Stecher,EDM,D,31.86813186813187
8476463,2023,Jonas Brodin,MIN,D,84.43223443223444
8483565,2023,Nick Blankenburg,CBJ,D,91.94139194139194
8480192,2023,Johnathan Kovacevic,MTL,D,19.413919413919416
8482470,2023,Ilya Solovyov,CGY,D,10.256410256410248
8476372,2023,Nick Seeler,PHI,D,68.4981684981685
8480834,2023,Ty Emberson,SJS,D,59.34065934065934
8477335,2023,Kyle Burroughs,SJS,D,16.849816849816847
8471686,2023,Marc Staal,PHI,D,25.27472527472527
8476875,2023,Mike Matheson,MTL,D,57.875457875457876
8477932,2023,Aaron Ekblad,FLA,D,3.296703296703299
8481806,2023,Louis Crevier,CHI,D,69.23076923076923
8480070,2023,Ian Mitchell,BOS,D,0.366300366300365
8478178,2023,Darren Raddysh,TBL,D,93.4065934065934
8481598,2023,Philip Broberg,EDM,D,84.43223443223444
8471677,2023,Jack Johnson,COL,D,78.75457875457876
8480891,2023,Michael Kesselring,ARI,D,10.622710622710613
8480196,2023,Jacob Bryson,BUF,D,84.43223443223444
8477845,2023,Trevor van Riemsdyk,WSH,D,71.42857142857143
8480073,2023,Erik Brannstrom,OTT,D,39.1941391941392
8479398,2023,Samuel Girard,COL,D,91.57509157509158
8477986,2023,Brandon Montour,FLA,D,65.93406593406593
8480084,2023,Nick DeSimone,NJD,D,75.0915750915751
8478454,2023,Noah Juulsen,VAN,D,30.586080586080584
8475462,2023,Radko Gudas,ANA,D,2.930402930402934
8477447,2023,Shea Theodore,VGK,D,88.27838827838828
8476457,2023,Adam Larsson,SEA,D,50.91575091575092
8478397,2023,Rasmus Andersson,CGY,D,79.48717948717949
8482073,2023,Braden Schneider,NYR,D,74.35897435897436
8476312,2023,Josh Manson,COL,D,14.285714285714292
8479325,2023,Charlie McAvoy,BOS,D,80.21978021978022
8479983,2023,Mario Ferraro,SJS,D,43.223443223443226
8480246,2023,Nick Perbix,TBL,D,95.78754578754578
8470613,2023,Brent Burns,CAR,D,61.53846153846153
8476923,2023,Damon Severson,CBJ,D,13.736263736263737
8482684,2023,Luke Hughes,NJD,D,96.7032967032967
8471274,2023,Alex Goligoski,MIN,D,34.43223443223444
8475718,2023,Justin Holl,DET,D,6.593406593406598
8479976,2023,Juuso Valimaki,ARI,D,92.85714285714286
8480069,2023,Cale Makar,COL,D,98.9010989010989
8482858,2023,Ryker Evans,SEA,D,38.46153846153846
8477499,2023,Rasmus Ristolainen,PHI,D,84.43223443223444
8480990,2023,Declan Chisholm,MIN,D,22.7106227106227
8475753,2023,Justin Faulk,STL,D,23.80952380952381
8480873,2023,Rasmus Sandin,WSH,D,54.94505494505494
8477971,2023,Andreas Englund,LAK,D,76.19047619047619
8479345,2023,Jakob Chychrun,OTT,D,47.43589743589743
8483482,2023,Tristan Luneau,ANA,D,65.01831501831502
8482176,2023,Wyatt Kaiser,CHI,D,8.424908424908423
8479323,2023,Adam Fox,NYR,D,87.54578754578755
8477384,2023,Josh Brown,ARI,D,12.820512820512818
8481056,2023,Spencer Stastney,NSH,D,84.43223443223444
8482087,2023,Kaiden Guhle,MTL,D,26.739926739926744
8474013,2023,Ian Cole,VAN,D,13.736263736263737
8474031,2023,Kevin Shattenkirk,BOS,D,40.29304029304029
8482511,2023,Mason Lohrei,BOS,D,35.53113553113553
8478882,2023,Vladislav Gavrikov,LAK,D,78.3882783882784
8474574,2023,Tyler Myers,VAN,D,5.128205128205138
8475790,2023,Erik Gudbranson,CBJ,D,63.003663003663
8478468,2023,Jeremy Lauzon,NSH,D,19.04761904761905
8476467,2023,Jamie Oleksiak,SEA,D,32.96703296703298
8484304,2023,Uvis Balinskis,FLA,D,84.43223443223444
8475179,2023,Dmitry Kulikov,FLA,D,58.97435897435898
