playerId,season,name,team,position,team_rank,ev_icetime,offensive_rank,defensive_rank,general_play_rank,physicality_rank,penalties_rank,Finishing,penalty_kill_rank,power_play_rank,overall
8480073,2023,Erik Brannstrom,OTT,D,26,55.0,57.0,72.0,65.0,21.0,39.0,24.0,10.0,0.0,64.0
8479398,2023,Samuel Girard,COL,D,8,46.0,82.0,21.0,86.0,50.0,92.0,8.0,15.0,0.0,68.0
8477986,2023,Brandon Montour,FLA,D,5,63.0,82.0,85.0,87.0,57.0,66.0,65.0,0.0,54.0,94.0
8480084,2023,Nick DeSimone,NJD,D,23,18.0,74.0,7.0,51.0,46.0,75.0,88.0,0.0,0.0,38.0
8478454,2023,Noah Juulsen,VAN,D,6,32.0,10.0,84.0,35.0,99.0,31.0,44.0,93.0,0.0,45.0
8475462,2023,Radko Gudas,ANA,D,30,54.0,68.0,89.0,55.0,98.0,3.0,94.0,41.0,0.0,75.0
8477447,2023,Shea Theodore,VGK,D,14,41.0,94.0,67.0,86.0,1.0,88.0,33.0,0.0,56.0,85.0
8476457,2023,Adam Larsson,SEA,D,25,97.0,44.0,86.0,53.0,71.0,51.0,35.0,51.0,0.0,71.0
8478397,2023,Rasmus Andersson,CGY,D,24,88.0,83.0,15.0,58.0,9.0,79.0,58.0,58.0,26.0,56.0
8482073,2023,Braden Schneider,NYR,D,1,63.0,66.0,46.0,45.0,86.0,74.0,63.0,0.0,0.0,61.0
8476312,2023,Josh Manson,COL,D,8,63.0,96.0,55.0,85.0,93.0,14.0,78.0,39.0,0.0,85.0
8479325,2023,Charlie McAvoy,BOS,D,7,83.0,92.0,40.0,67.0,73.0,80.0,86.0,94.0,19.0,80.0
8479983,2023,Mario Ferraro,SJS,D,32,91.0,49.0,10.0,8.0,58.0,43.0,19.0,8.0,0.0,16.0
8480246,2023,Nick Perbix,TBL,D,13,70.0,25.0,58.0,52.0,46.0,96.0,24.0,0.0,0.0,52.0
8470613,2023,Brent Burns,CAR,D,3,75.0,88.0,93.0,98.0,10.0,62.0,49.0,68.0,94.0,97.0
8476923,2023,Damon Severson,CBJ,D,29,65.0,79.0,16.0,54.0,17.0,14.0,89.0,0.0,0.0,43.0
8482684,2023,Luke Hughes,NJD,D,23,85.0,64.0,30.0,82.0,3.0,97.0,33.0,0.0,69.0,68.0
8471274,2023,Alex Goligoski,MIN,D,20,20.0,37.0,64.0,31.0,39.0,34.0,3.0,0.0,0.0,34.0
8475718,2023,Justin Holl,DET,D,18,22.0,1.0,47.0,11.0,76.0,7.0,27.0,0.0,0.0,10.0
