playerId,season,name,team,position,defence_rank
8480950,2023,Ilya Lyubushkin,TOR,D,12.82051282051282
8480860,2023,Kevin Bahl,NJD,D,68.13186813186813
8476473,2023,Connor Murphy,CHI,D,19.78021978021978
8481743,2023,Marc Del Gaizo,NSH,D,69.96336996336996
8480803,2023,Evan Bouchard,EDM,D,90.84249084249085
8477851,2023,Jordan Oesterle,CGY,D,40.65934065934066
8478396,2023,Noah Hanifin,VGK,D,78.75457875457876
8477244,2023,Chad Ruhwedel,NYR,D,64.83516483516483
8470600,2023,Ryan Suter,DAL,D,81.68498168498168
8477018,2023,Ben Hutton,VGK,D,91.20879120879121
8476931,2023,Jake McCabe,TOR,D,37.362637362637365
8481719,2023,Maxwell Crozier,TBL,D,98.53479853479854
8476892,2023,Colton Parayko,STL,D,38.46153846153847
8477034,2023,Jaycob Megna,CHI,D,14.285714285714285
8479998,2023,Mikey Anderson,LAK,D,89.74358974358975
8477950,2023,Tony DeAngelo,CAR,D,53.47985347985348
8482245,2023,Artem Zub,OTT,D,73.62637362637363
8478407,2023,Vince Dunn,SEA,D,69.23076923076923
8483490,2023,Pavel Mintyukov,ANA,D,28.93772893772894
8478451,2023,Ethan Bear,WSH,D,40.29304029304029
8480035,2023,Henri Jokiharju,BUF,D,24.90842490842491
8480049,2023,Dylan Samberg,WPG,D,99.26739926739927
8481521,2023,Ronnie Attard,PHI,D,66.66666666666666
8474151,2023,Ryan McDonagh,NSH,D,83.88278388278388
8476917,2023,Adam Pelech,NYI,D,50.18315018315018
8478450,2023,Parker Wotherspoon,BOS,D,50.91575091575091
8475233,2023,David Savard,MTL,D,8.424908424908425
8478013,2023,Jake Walman,DET,D,6.593406593406594
8477220,2023,Nate Schmidt,WPG,D,100.0
8479442,2023,Troy Stecher,EDM,D,72.89377289377289
8476463,2023,Jonas Brodin,MIN,D,96.7032967032967
8483565,2023,Nick Blankenburg,CBJ,D,4.761904761904762
8480192,2023,Johnathan Kovacevic,MTL,D,17.94871794871795
8482470,2023,Ilya Solovyov,CGY,D,35.8974358974359
8476372,2023,Nick Seeler,PHI,D,74.35897435897436
8480834,2023,Ty Emberson,SJS,D,60.8058608058608
8477335,2023,Kyle Burroughs,SJS,D,5.4945054945054945
8471686,2023,Marc Staal,PHI,D,48.717948717948715
8476875,2023,Mike Matheson,MTL,D,29.304029304029307
8477932,2023,Aaron Ekblad,FLA,D,94.5054945054945
8481806,2023,Louis Crevier,CHI,D,0.7326007326007326
8480070,2023,Ian Mitchell,BOS,D,63.73626373626373
8478178,2023,Darren Raddysh,TBL,D,61.172161172161175
8481598,2023,Philip Broberg,EDM,D,49.81684981684982
8471677,2023,Jack Johnson,COL,D,18.315018315018314
8480891,2023,Michael Kesselring,ARI,D,52.38095238095239
8480196,2023,Jacob Bryson,BUF,D,78.3882783882784
8477845,2023,Trevor van Riemsdyk,WSH,D,80.58608058608058
8480073,2023,Erik Brannstrom,OTT,D,69.59706959706959
8479398,2023,Samuel Girard,COL,D,22.344322344322347
8477986,2023,Brandon Montour,FLA,D,84.98168498168498
8480084,2023,Nick DeSimone,NJD,D,8.791208791208792
8478454,2023,Noah Juulsen,VAN,D,87.54578754578755
8475462,2023,Radko Gudas,ANA,D,86.44688644688645
8477447,2023,Shea Theodore,VGK,D,65.93406593406593
8476457,2023,Adam Larsson,SEA,D,79.12087912087912
8478397,2023,Rasmus Andersson,CGY,D,12.454212454212454
8482073,2023,Braden Schneider,NYR,D,47.61904761904761
8476312,2023,Josh Manson,COL,D,53.11355311355312
8479325,2023,Charlie McAvoy,BOS,D,35.53113553113553
8479983,2023,Mario Ferraro,SJS,D,6.227106227106227
8480246,2023,Nick Perbix,TBL,D,55.311355311355314
8470613,2023,Brent Burns,CAR,D,91.94139194139194
8476923,2023,Damon Severson,CBJ,D,15.384615384615385
8482684,2023,Luke Hughes,NJD,D,26.373626373626376
8471274,2023,Alex Goligoski,MIN,D,64.1025641025641
8475718,2023,Justin Holl,DET,D,51.28205128205128
8479976,2023,Juuso Valimaki,ARI,D,80.21978021978022
8480069,2023,Cale Makar,COL,D,51.64835164835166
8482858,2023,Ryker Evans,SEA,D,97.8021978021978
8477499,2023,Rasmus Ristolainen,PHI,D,93.77289377289377
8480990,2023,Declan Chisholm,MIN,D,86.08058608058609
8475753,2023,Justin Faulk,STL,D,10.989010989010989
8480873,2023,Rasmus Sandin,WSH,D,15.018315018315018
8477971,2023,Andreas Englund,LAK,D,60.43956043956044
8479345,2023,Jakob Chychrun,OTT,D,21.611721611721613
8483482,2023,Tristan Luneau,ANA,D,11.355311355311356
8482176,2023,Wyatt Kaiser,CHI,D,32.6007326007326
8479323,2023,Adam Fox,NYR,D,84.24908424908425
8477384,2023,Josh Brown,ARI,D,3.6630036630036633
8481056,2023,Spencer Stastney,NSH,D,55.67765567765568
8482087,2023,Kaiden Guhle,MTL,D,49.08424908424908
8474013,2023,Ian Cole,VAN,D,88.27838827838828
8474031,2023,Kevin Shattenkirk,BOS,D,54.21245421245421
8482511,2023,Mason Lohrei,BOS,D,21.978021978021978
8478882,2023,Vladislav Gavrikov,LAK,D,72.16117216117216
8474574,2023,Tyler Myers,VAN,D,58.97435897435898
8475790,2023,Erik Gudbranson,CBJ,D,13.91941391941392
8478468,2023,Jeremy Lauzon,NSH,D,46.15384615384615
8476467,2023,Jamie Oleksiak,SEA,D,58.60805860805861
8484304,2023,Uvis Balinskis,FLA,D,85.71428571428571
8475179,2023,Dmitry Kulikov,FLA,D,68.86446886446886
8479372,2023,Josh Mahura,FLA,D,86.81318681318682
8471709,2023,Marc-Edouard Vlasic,SJS,D,1.8315018315018317
8475762,2023,Derek Forbort,BOS,D,79.85347985347985
8478859,2023,Niko Mikkola,FLA,D,74.72527472527473
8481708,2023,Zac Jones,NYR,D,45.78754578754579
8476429,2023,Scott Mayfield,NYI,D,56.776556776556774
8474578,2023,Erik Karlsson,PIT,D,31.135531135531135
8481542,2023,Moritz Seider,DET,D,16.117216117216117
8480336,2023,Sean Walker,COL,D,59.70695970695971
8482192,2023,Isaak Phillips,CHI,D,0.3663003663003663
8470966,2023,Mark Giordano,TOR,D,52.74725274725275
8478055,2023,Gustav Forsling,FLA,D,92.67399267399267
8475188,2023,Brayden McNabb,VGK,D,56.043956043956044
8477810,2023,Joel Hanley,CGY,D,82.78388278388277
8481161,2023,Jake Christiansen,CBJ,D,1.465201465201465
8476879,2023,Cody Ceci,EDM,D,39.1941391941392
8478408,2023,Travis Dermott,ARI,D,13.186813186813188
8482929,2023,Emil Lilleberg,TBL,D,71.7948717948718
8481812,2023,Nikolai Knyzhov,SJS,D,64.46886446886447
