playerId,season,name,team,position,general_play_rank
8480950,2023,Ilya Lyubushkin,TOR,D,14.285714285714285
8480860,2023,Kevin Bahl,NJD,D,49.08424908424908
8476473,2023,Connor Murphy,CHI,D,8.424908424908425
8481743,2023,Marc Del Gaizo,NSH,D,35.53113553113553
8480803,2023,Evan Bouchard,EDM,D,100.0
8477851,2023,Jordan Oesterle,CGY,D,24.175824175824175
8478396,2023,Noah Hanifin,VGK,D,77.65567765567766
8477244,2023,Chad Ruhwedel,NYR,D,12.82051282051282
8470600,2023,Ryan Suter,DAL,D,70.32967032967034
8477018,2023,Ben Hutton,VGK,D,82.41758241758241
8476931,2023,Jake McCabe,TOR,D,66.30036630036629
8481719,2023,Maxwell Crozier,TBL,D,88.64468864468864
8476892,2023,Colton Parayko,STL,D,15.018315018315018
8477034,2023,Jaycob Megna,CHI,D,2.564102564102564
8479998,2023,Mikey Anderson,LAK,D,80.95238095238095
8477950,2023,Tony DeAngelo,CAR,D,67.3992673992674
8482245,2023,Artem Zub,OTT,D,75.82417582417582
8478407,2023,Vince Dunn,SEA,D,69.23076923076923
8483490,2023,Pavel Mintyukov,ANA,D,32.967032967032964
8478451,2023,Ethan Bear,WSH,D,7.326007326007327
8480035,2023,Henri Jokiharju,BUF,D,36.63003663003663
8480049,2023,Dylan Samberg,WPG,D,71.42857142857143
8481521,2023,Ronnie Attard,PHI,D,91.57509157509158
8474151,2023,Ryan McDonagh,NSH,D,92.3076923076923
8476917,2023,Adam Pelech,NYI,D,46.15384615384615
8478450,2023,Parker Wotherspoon,BOS,D,47.25274725274725
8475233,2023,David Savard,MTL,D,21.978021978021978
8478013,2023,Jake Walman,DET,D,17.94871794871795
8477220,2023,Nate Schmidt,WPG,D,86.44688644688645
8479442,2023,Troy Stecher,EDM,D,53.84615384615385
8476463,2023,Jonas Brodin,MIN,D,78.75457875457876
8483565,2023,Nick Blankenburg,CBJ,D,22.344322344322347
8480192,2023,Johnathan Kovacevic,MTL,D,27.472527472527474
8482470,2023,Ilya Solovyov,CGY,D,22.71062271062271
8476372,2023,Nick Seeler,PHI,D,86.81318681318682
8480834,2023,Ty Emberson,SJS,D,8.791208791208792
8477335,2023,Kyle Burroughs,SJS,D,7.6923076923076925
8471686,2023,Marc Staal,PHI,D,53.47985347985348
8476875,2023,Mike Matheson,MTL,D,29.304029304029307
8477932,2023,Aaron Ekblad,FLA,D,96.7032967032967
8481806,2023,Louis Crevier,CHI,D,0.3663003663003663
8480070,2023,Ian Mitchell,BOS,D,19.047619047619047
8478178,2023,Darren Raddysh,TBL,D,78.3882783882784
8481598,2023,Philip Broberg,EDM,D,68.86446886446886
8471677,2023,Jack Johnson,COL,D,42.124542124542124
8480891,2023,Michael Kesselring,ARI,D,58.97435897435898
8480196,2023,Jacob Bryson,BUF,D,37.72893772893773
8477845,2023,Trevor van Riemsdyk,WSH,D,38.46153846153847
8480073,2023,Erik Brannstrom,OTT,D,64.83516483516483
8479398,2023,Samuel Girard,COL,D,85.71428571428571
8477986,2023,Brandon Montour,FLA,D,87.17948717948718
8480084,2023,Nick DeSimone,NJD,D,51.28205128205128
8478454,2023,Noah Juulsen,VAN,D,35.16483516483517
8475462,2023,Radko Gudas,ANA,D,55.311355311355314
8477447,2023,Shea Theodore,VGK,D,86.08058608058609
8476457,2023,Adam Larsson,SEA,D,52.74725274725275
8478397,2023,Rasmus Andersson,CGY,D,58.24175824175825
8482073,2023,Braden Schneider,NYR,D,45.42124542124542
8476312,2023,Josh Manson,COL,D,85.34798534798534
8479325,2023,Charlie McAvoy,BOS,D,67.03296703296702
8479983,2023,Mario Ferraro,SJS,D,8.058608058608058
8480246,2023,Nick Perbix,TBL,D,52.38095238095239
8470613,2023,Brent Burns,CAR,D,98.16849816849816
8476923,2023,Damon Severson,CBJ,D,54.21245421245421
8482684,2023,Luke Hughes,NJD,D,81.68498168498168
8471274,2023,Alex Goligoski,MIN,D,31.135531135531135
8475718,2023,Justin Holl,DET,D,11.355311355311356
8479976,2023,Juuso Valimaki,ARI,D,56.043956043956044
8480069,2023,Cale Makar,COL,D,91.94139194139194
8482858,2023,Ryker Evans,SEA,D,76.92307692307693
8477499,2023,Rasmus Ristolainen,PHI,D,83.15018315018315
8480990,2023,Declan Chisholm,MIN,D,76.19047619047619
8475753,2023,Justin Faulk,STL,D,37.362637362637365
8480873,2023,Rasmus Sandin,WSH,D,15.75091575091575
8477971,2023,Andreas Englund,LAK,D,52.01465201465202
8479345,2023,Jakob Chychrun,OTT,D,56.776556776556774
8483482,2023,Tristan Luneau,ANA,D,40.65934065934066
8482176,2023,Wyatt Kaiser,CHI,D,9.89010989010989
8479323,2023,Adam Fox,NYR,D,90.47619047619048
8477384,2023,Josh Brown,ARI,D,6.95970695970696
8481056,2023,Spencer Stastney,NSH,D,88.27838827838828
8482087,2023,Kaiden Guhle,MTL,D,19.78021978021978
8474013,2023,Ian Cole,VAN,D,64.1025641025641
8474031,2023,Kevin Shattenkirk,BOS,D,63.73626373626373
8482511,2023,Mason Lohrei,BOS,D,26.00732600732601
8478882,2023,Vladislav Gavrikov,LAK,D,89.01098901098901
8474574,2023,Tyler Myers,VAN,D,63.003663003663
8475790,2023,Erik Gudbranson,CBJ,D,11.72161172161172
8478468,2023,Jeremy Lauzon,NSH,D,50.54945054945055
8476467,2023,Jamie Oleksiak,SEA,D,47.61904761904761
8484304,2023,Uvis Balinskis,FLA,D,50.18315018315018
8475179,2023,Dmitry Kulikov,FLA,D,84.24908424908425
8479372,2023,Josh Mahura,FLA,D,33.33333333333333
