playerId,season,name,team,position,physicality_rank
8480950,2023,Ilya Lyubushkin,TOR,D,91.57509157509158
8480860,2023,Kevin Bahl,NJD,D,79.85347985347985
8476473,2023,Connor Murphy,CHI,D,87.54578754578755
8481743,2023,Marc Del Gaizo,NSH,D,90.10989010989012
8480803,2023,Evan Bouchard,EDM,D,24.54212454212454
8477851,2023,Jordan Oesterle,CGY,D,57.87545787545788
8478396,2023,Noah Hanifin,VGK,D,20.51282051282051
8477244,2023,Chad Ruhwedel,NYR,D,86.81318681318682
8470600,2023,Ryan Suter,DAL,D,36.63003663003663
8477018,2023,Ben Hutton,VGK,D,12.087912087912088
8476931,2023,Jake McCabe,TOR,D,90.84249084249085
8481719,2023,Maxwell Crozier,TBL,D,69.23076923076923
8476892,2023,Colton Parayko,STL,D,46.88644688644688
8477034,2023,Jaycob Megna,CHI,D,61.172161172161175
8479998,2023,Mikey Anderson,LAK,D,65.56776556776556
8477950,2023,Tony DeAngelo,CAR,D,1.465201465201465
8482245,2023,Artem Zub,OTT,D,73.62637362637363
8478407,2023,Vince Dunn,SEA,D,16.483516483516482
8483490,2023,Pavel Mintyukov,ANA,D,56.043956043956044
8478451,2023,Ethan Bear,WSH,D,30.76923076923077
8480035,2023,Henri Jokiharju,BUF,D,50.18315018315018
8480049,2023,Dylan Samberg,WPG,D,36.996336996337
8481521,2023,Ronnie Attard,PHI,D,83.88278388278388
8474151,2023,Ryan McDonagh,NSH,D,6.593406593406594
8476917,2023,Adam Pelech,NYI,D,42.49084249084249
8478450,2023,Parker Wotherspoon,BOS,D,83.15018315018315
8475233,2023,David Savard,MTL,D,41.02564102564102
8478013,2023,Jake Walman,DET,D,21.611721611721613
8477220,2023,Nate Schmidt,WPG,D,52.74725274725275
8479442,2023,Troy Stecher,EDM,D,54.57875457875458
8476463,2023,Jonas Brodin,MIN,D,2.197802197802198
8483565,2023,Nick Blankenburg,CBJ,D,79.48717948717949
8480192,2023,Johnathan Kovacevic,MTL,D,58.60805860805861
8482470,2023,Ilya Solovyov,CGY,D,61.53846153846154
8476372,2023,Nick Seeler,PHI,D,82.05128205128204
8480834,2023,Ty Emberson,SJS,D,95.97069597069597
8477335,2023,Kyle Burroughs,SJS,D,96.33699633699634
8471686,2023,Marc Staal,PHI,D,50.54945054945055
8476875,2023,Mike Matheson,MTL,D,19.78021978021978
8477932,2023,Aaron Ekblad,FLA,D,55.311355311355314
8481806,2023,Louis Crevier,CHI,D,62.27106227106227
8480070,2023,Ian Mitchell,BOS,D,3.6630036630036633
8478178,2023,Darren Raddysh,TBL,D,35.8974358974359
8481598,2023,Philip Broberg,EDM,D,8.424908424908425
8471677,2023,Jack Johnson,COL,D,47.985347985347985
8480891,2023,Michael Kesselring,ARI,D,75.45787545787546
8480196,2023,Jacob Bryson,BUF,D,13.553113553113553
8477845,2023,Trevor van Riemsdyk,WSH,D,4.761904761904762
8480073,2023,Erik Brannstrom,OTT,D,21.245421245421245
8479398,2023,Samuel Girard,COL,D,49.81684981684982
8477986,2023,Brandon Montour,FLA,D,57.14285714285714
8480084,2023,Nick DeSimone,NJD,D,46.15384615384615
8478454,2023,Noah Juulsen,VAN,D,99.26739926739927
8475462,2023,Radko Gudas,ANA,D,98.16849816849816
8477447,2023,Shea Theodore,VGK,D,0.7326007326007326
8476457,2023,Adam Larsson,SEA,D,71.06227106227107
8478397,2023,Rasmus Andersson,CGY,D,8.791208791208792
8482073,2023,Braden Schneider,NYR,D,85.71428571428571
8476312,2023,Josh Manson,COL,D,93.04029304029304
8479325,2023,Charlie McAvoy,BOS,D,73.26007326007326
8479983,2023,Mario Ferraro,SJS,D,58.24175824175825
8480246,2023,Nick Perbix,TBL,D,45.78754578754579
8470613,2023,Brent Burns,CAR,D,9.89010989010989
8476923,2023,Damon Severson,CBJ,D,16.84981684981685
8482684,2023,Luke Hughes,NJD,D,3.296703296703297
8471274,2023,Alex Goligoski,MIN,D,38.82783882783883
8475718,2023,Justin Holl,DET,D,76.19047619047619
8479976,2023,Juuso Valimaki,ARI,D,35.53113553113553
8480069,2023,Cale Makar,COL,D,7.6923076923076925
8482858,2023,Ryker Evans,SEA,D,68.86446886446886
8477499,2023,Rasmus Ristolainen,PHI,D,76.92307692307693
8480990,2023,Declan Chisholm,MIN,D,7.326007326007327
8475753,2023,Justin Faulk,STL,D,52.38095238095239
8480873,2023,Rasmus Sandin,WSH,D,39.56043956043956
8477971,2023,Andreas Englund,LAK,D,94.87179487179486
8479345,2023,Jakob Chychrun,OTT,D,23.809523809523807
8483482,2023,Tristan Luneau,ANA,D,58.97435897435898
8482176,2023,Wyatt Kaiser,CHI,D,26.73992673992674
8479323,2023,Adam Fox,NYR,D,15.384615384615385
8477384,2023,Josh Brown,ARI,D,94.13919413919413
8481056,2023,Spencer Stastney,NSH,D,0.3663003663003663
8482087,2023,Kaiden Guhle,MTL,D,59.34065934065934
8474013,2023,Ian Cole,VAN,D,47.61904761904761
8474031,2023,Kevin Shattenkirk,BOS,D,54.21245421245421
8482511,2023,Mason Lohrei,BOS,D,32.234432234432234
8478882,2023,Vladislav Gavrikov,LAK,D,17.216117216117215
8474574,2023,Tyler Myers,VAN,D,53.84615384615385
8475790,2023,Erik Gudbranson,CBJ,D,49.08424908424908
8478468,2023,Jeremy Lauzon,NSH,D,100.0
8476467,2023,Jamie Oleksiak,SEA,D,53.11355311355312
8484304,2023,Uvis Balinskis,FLA,D,65.2014652014652
8475179,2023,Dmitry Kulikov,FLA,D,80.21978021978022
