playerId,season,name,team,position,team_rank,ev_icetime,offensive_rank,defensive_rank,general_play_rank,physicality_rank,penalties_rank,Finishing,penalty_kill_rank,power_play_rank,overall
8476858,2023,Phillip Di Giuseppe,VAN,L,6,28.0,18.0,29.0,14.0,81.0,32.0,43.0,0.0,0.0,14.0
8477478,2023,William Carrier,VGK,L,14,21.0,76.0,93.0,86.0,88.0,86.0,8.0,0.0,0.0,65.0
8480002,2023,Nico Hischier,NJD,C,23,64.0,97.0,16.0,88.0,21.0,90.0,74.0,0.0,57.0,80.0
8477951,2023,Nick Schmaltz,ARI,C,27,92.0,37.0,56.0,57.0,1.0,73.0,49.0,0.0,49.0,73.0
8477500,2023,Bo Horvat,NYI,C,15,96.0,82.0,48.0,80.0,27.0,53.0,77.0,0.0,49.0,91.0
8475168,2023,Matt Duchene,DAL,C,2,85.0,77.0,54.0,65.0,8.0,54.0,55.0,0.0,80.0,83.0
8478873,2023,Troy Terry,ANA,R,30,87.0,46.0,69.0,50.0,2.0,92.0,52.0,0.0,15.0,73.0
8475166,2023,John Tavares,TOR,C,10,89.0,93.0,39.0,84.0,68.0,78.0,12.0,0.0,95.0,94.0
8481058,2023,Jesse Ylnen,MTL,R,28,26.0,6.0,25.0,4.0,49.0,45.0,68.0,0.0,0.0,7.0
8476458,2023,Ryan Strome,ANA,C,30,70.0,35.0,26.0,28.0,38.0,4.0,48.0,0.0,17.0,41.0
8484153,2023,Leo Carlsson,ANA,C,30,47.0,30.0,59.0,59.0,10.0,89.0,48.0,0.0,17.0,45.0
8484145,2023,Zach Benson,BUF,L,22,56.0,64.0,62.0,68.0,19.0,32.0,35.0,0.0,0.0,63.0
8474679,2023,Gustav Nyquist,NSH,C,11,81.0,80.0,28.0,81.0,10.0,63.0,51.0,0.0,43.0,80.0
8477919,2023,Frederick Gaudreau,MIN,C,20,40.0,5.0,48.0,19.0,15.0,22.0,39.0,6.0,0.0,17.0
8481147,2023,Reese Johnson,CHI,C,31,19.0,23.0,8.0,13.0,94.0,97.0,8.0,0.0,0.0,13.0
8480018,2023,Nick Suzuki,MTL,C,28,99.0,45.0,63.0,60.0,28.0,43.0,81.0,0.0,50.0,79.0
8481604,2023,Pavel Dorofeyev,VGK,L,14,30.0,95.0,74.0,79.0,12.0,40.0,92.0,0.0,0.0,64.0
8475184,2023,Chris Kreider,NYR,L,1,78.0,81.0,63.0,75.0,53.0,27.0,46.0,44.0,98.0,84.0
8475726,2023,Tyler Toffoli,WPG,C,4,75.0,93.0,27.0,85.0,43.0,63.0,75.0,0.0,71.0,86.0
8477952,2023,Robby Fabbri,DET,C,18,40.0,55.0,18.0,25.0,60.0,28.0,81.0,0.0,61.0,31.0
8481522,2023,Peyton Krebs,BUF,C,22,58.0,14.0,57.0,39.0,68.0,8.0,31.0,0.0,0.0,37.0
8475855,2023,Jesper Fast,CAR,R,3,51.0,55.0,98.0,94.0,60.0,71.0,9.0,0.0,0.0,76.0
8477987,2023,Ryan Donato,CHI,C,31,60.0,47.0,17.0,18.0,66.0,81.0,60.0,0.0,6.0,42.0
8482660,2023,Kent Johnson,CBJ,C,29,23.0,40.0,39.0,39.0,5.0,72.0,85.0,0.0,0.0,27.0
8477493,2023,Aleksander Barkov,FLA,C,5,63.0,96.0,100.0,100.0,57.0,73.0,50.0,99.0,89.0,95.0
8476419,2023,Jean-Gabriel Pageau,NYI,C,15,67.0,30.0,25.0,26.0,85.0,57.0,32.0,43.0,0.0,42.0
8478585,2023,Derek Ryan,EDM,C,9,31.0,16.0,98.0,72.0,54.0,99.0,18.0,11.0,0.0,45.0
8478115,2023,Pierre Engvall,NYI,L,15,72.0,53.0,48.0,67.0,8.0,22.0,11.0,0.0,12.0,61.0
8477501,2023,Valeri Nichushkin,COL,R,8,48.0,86.0,26.0,87.0,54.0,45.0,22.0,0.0,77.0,70.0
8476469,2023,Joel Armia,MTL,R,28,46.0,66.0,66.0,51.0,33.0,9.0,87.0,39.0,0.0,53.0
8480830,2023,Andrei Svechnikov,CAR,R,3,48.0,91.0,52.0,93.0,81.0,3.0,62.0,0.0,93.0,74.0
8478975,2023,Mason Marchment,DAL,L,2,83.0,79.0,69.0,73.0,58.0,59.0,78.0,0.0,78.0,89.0
8477846,2023,Ryan Carpenter,SJS,C,32,32.0,27.0,57.0,36.0,50.0,37.0,40.0,0.0,0.0,28.0
8481556,2023,John Beecher,BOS,C,7,22.0,17.0,68.0,3.0,92.0,14.0,93.0,0.0,0.0,13.0
8481716,2023,Dmitri Voronkov,CBJ,L,29,51.0,84.0,12.0,43.0,62.0,2.0,31.0,0.0,36.0,50.0
8477979,2023,Nicolas Aube-Kubel,WSH,R,17,40.0,13.0,80.0,10.0,90.0,65.0,63.0,0.0,0.0,29.0
8480208,2023,Drake Batherson,OTT,R,26,94.0,70.0,54.0,60.0,48.0,37.0,89.0,0.0,68.0,84.0
8477450,2023,Jason Dickinson,CHI,C,31,80.0,35.0,90.0,37.0,70.0,45.0,96.0,36.0,0.0,65.0
8483808,2023,Andrei Kuzmenko,CGY,L,24,50.0,78.0,43.0,76.0,2.0,91.0,87.0,0.0,77.0,70.0
8481477,2023,Nico Sturm,SJS,C,32,43.0,9.0,7.0,8.0,57.0,62.0,20.0,37.0,0.0,16.0
8477497,2023,Sean Monahan,WPG,C,4,80.0,58.0,17.0,47.0,7.0,61.0,78.0,34.0,60.0,62.0
8481068,2023,Yegor Sharangovich,CGY,C,24,77.0,57.0,36.0,54.0,1.0,83.0,97.0,58.0,69.0,69.0
8477492,2023,Nathan MacKinnon,COL,C,8,100.0,100.0,53.0,98.0,17.0,79.0,99.0,0.0,83.0,99.0
8479619,2023,Michael Carcone,ARI,L,27,46.0,70.0,7.0,26.0,47.0,22.0,99.0,0.0,0.0,39.0
8478233,2023,Andrew Mangiapane,CGY,L,24,73.0,63.0,59.0,67.0,50.0,18.0,9.0,0.0,0.0,73.0
8471817,2023,Ryan Reaves,TOR,R,10,19.0,17.0,46.0,27.0,100.0,13.0,62.0,0.0,0.0,14.0
8477944,2023,Jakub Vrana,STL,L,16,9.0,49.0,0.0,8.0,21.0,10.0,53.0,0.0,0.0,6.0
8477407,2023,Anthony Duclair,TBL,L,13,67.0,62.0,11.0,27.0,28.0,49.0,94.0,0.0,43.0,50.0
8481592,2023,Jakob Pelletier,CGY,L,24,1.0,11.0,71.0,9.0,45.0,11.0,74.0,0.0,0.0,3.0
8484314,2023,Jiri Smejkal,OTT,L,26,4.0,7.0,34.0,6.0,85.0,73.0,16.0,0.0,0.0,3.0
8482078,2023,Lucas Raymond,DET,L,18,91.0,56.0,52.0,50.0,33.0,99.0,88.0,0.0,48.0,79.0
8476539,2023,Jonathan Marchessault,VGK,R,14,89.0,92.0,52.0,72.0,51.0,13.0,97.0,0.0,42.0,88.0
8475170,2023,Brayden Schenn,STL,C,16,84.0,32.0,26.0,25.0,76.0,29.0,57.0,0.0,40.0,51.0
8477070,2023,Liam O'Brien,ARI,C,27,39.0,25.0,65.0,26.0,98.0,3.0,34.0,0.0,0.0,29.0
8479318,2023,Auston Matthews,TOR,C,10,99.0,99.0,60.0,95.0,39.0,75.0,98.0,0.0,97.0,100.0
8482093,2023,Seth Jarvis,CAR,C,3,80.0,79.0,99.0,99.0,58.0,79.0,63.0,73.0,86.0,96.0
8475149,2023,Marcus Johansson,MIN,L,20,75.0,24.0,79.0,54.0,22.0,69.0,67.0,0.0,33.0,60.0
8480008,2023,Adam Ruzicka,ARI,C,27,17.0,5.0,21.0,10.0,12.0,40.0,67.0,0.0,0.0,3.0
8478366,2023,Frank Vatrano,ANA,R,30,80.0,68.0,23.0,36.0,72.0,5.0,75.0,27.0,75.0,61.0
8476952,2023,Dominic Toninato,WPG,C,4,3.0,22.0,99.0,87.0,82.0,5.0,2.0,0.0,0.0,30.0
8479316,2023,Luke Kunin,SJS,C,32,65.0,15.0,2.0,1.0,81.0,45.0,31.0,4.0,0.0,24.0
8480078,2023,Filip Chytil,NYR,C,1,3.0,57.0,68.0,91.0,10.0,45.0,3.0,0.0,0.0,38.0
8479546,2023,Oskar Steen,BOS,C,7,14.0,2.0,93.0,15.0,93.0,93.0,18.0,0.0,0.0,18.0
8480459,2023,Pius Suter,VAN,C,6,49.0,60.0,90.0,81.0,40.0,68.0,56.0,0.0,29.0,69.0
8479536,2023,Axel Jonsson-Fjallby,WPG,L,4,8.0,41.0,92.0,64.0,76.0,67.0,61.0,0.0,0.0,35.0
8476448,2023,William Karlsson,VGK,C,14,55.0,91.0,87.0,92.0,23.0,95.0,94.0,29.0,64.0,86.0
8476913,2023,Devin Shore,SEA,C,25,4.0,38.0,96.0,73.0,80.0,35.0,33.0,0.0,0.0,32.0
8480853,2023,Liam Foudy,NSH,C,11,2.0,34.0,67.0,44.0,40.0,98.0,7.0,0.0,0.0,23.0
8477473,2023,Justin Bailey,SJS,R,32,34.0,25.0,32.0,30.0,69.0,94.0,58.0,0.0,0.0,28.0
8475752,2023,Tyler Pitlick,NYR,C,1,17.0,6.0,23.0,5.0,93.0,84.0,11.0,0.0,0.0,6.0
8480870,2023,Bo Groulx,ANA,C,30,23.0,0.0,25.0,4.0,87.0,2.0,8.0,0.0,0.0,3.0
8482124,2023,Quinton Byfield,LAK,R,12,83.0,84.0,97.0,90.0,38.0,55.0,39.0,0.0,69.0,95.0
8479420,2023,Tage Thompson,BUF,C,22,63.0,85.0,33.0,72.0,49.0,65.0,80.0,0.0,72.0,76.0
8481582,2023,Nicholas Robertson,TOR,L,10,31.0,88.0,34.0,66.0,35.0,77.0,98.0,0.0,0.0,56.0
8479339,2023,Patrik Laine,CBJ,L,29,8.0,28.0,1.0,19.0,7.0,100.0,92.0,0.0,0.0,7.0
8477476,2023,Artturi Lehkonen,COL,L,8,32.0,75.0,83.0,94.0,43.0,28.0,29.0,0.0,82.0,66.0
8476867,2023,Brendan Gaunce,CBJ,C,29,11.0,20.0,14.0,13.0,83.0,6.0,38.0,0.0,0.0,4.0
8482125,2023,Alexander Holtz,NJD,R,23,52.0,72.0,35.0,42.0,32.0,29.0,88.0,0.0,0.0,53.0
8476981,2023,Josh Anderson,MTL,R,28,76.0,36.0,7.0,11.0,78.0,73.0,7.0,0.0,4.0,43.0
8471699,2023,Andrew Cogliano,COL,C,8,34.0,21.0,80.0,52.0,30.0,70.0,61.0,14.0,0.0,36.0
8475225,2023,Craig Smith,DAL,C,2,43.0,65.0,94.0,84.0,44.0,9.0,66.0,0.0,0.0,65.0
8480023,2023,Robert Thomas,STL,C,16,96.0,54.0,41.0,60.0,2.0,42.0,76.0,39.0,50.0,75.0
8481550,2023,Adam Beckman,MIN,L,20,0.0,7.0,18.0,0.0,71.0,87.0,2.0,0.0,0.0,1.0
8480802,2023,Ryan McLeod,EDM,C,9,66.0,66.0,93.0,90.0,42.0,50.0,54.0,0.0,0.0,82.0
8483505,2023,Matthew Poitras,BOS,C,7,19.0,55.0,50.0,65.0,18.0,99.0,85.0,0.0,0.0,43.0
8479344,2023,Jesse Puljujarvi,PIT,R,19,7.0,64.0,77.0,64.0,85.0,3.0,49.0,0.0,0.0,35.0
8479370,2023,Tyson Jost,BUF,C,22,20.0,14.0,30.0,6.0,63.0,66.0,32.0,0.0,0.0,9.0
8479415,2023,Michael McLeod,NJD,C,23,32.0,80.0,71.0,80.0,80.0,82.0,64.0,0.0,0.0,67.0
8480448,2023,Parker Kelly,OTT,L,26,42.0,13.0,76.0,38.0,91.0,77.0,35.0,75.0,0.0,39.0
8482652,2023,Walker Duehr,CGY,R,24,15.0,29.0,17.0,15.0,88.0,25.0,35.0,0.0,0.0,8.0
8475231,2023,Casey Cizikas,NYI,C,15,48.0,32.0,75.0,29.0,80.0,39.0,57.0,3.0,0.0,42.0
8479328,2023,Julien Gauthier,NYI,R,15,12.0,42.0,4.0,1.0,91.0,45.0,97.0,0.0,0.0,8.0
8479992,2023,Michael Rasmussen,DET,C,18,64.0,39.0,50.0,27.0,70.0,34.0,54.0,52.0,0.0,47.0
8477015,2023,Connor Brown,EDM,R,9,43.0,40.0,59.0,46.0,20.0,26.0,5.0,94.0,0.0,43.0
8476897,2023,Oskar Sundqvist,STL,C,16,41.0,5.0,14.0,3.0,63.0,80.0,5.0,0.0,0.0,15.0
8475314,2023,Anders Lee,NYI,L,15,84.0,88.0,53.0,74.0,77.0,14.0,1.0,0.0,33.0,85.0
8478466,2023,Daniel Sprong,DET,R,18,44.0,80.0,12.0,40.0,20.0,39.0,96.0,0.0,72.0,46.0
8482092,2023,Ridly Greig,OTT,C,26,56.0,41.0,58.0,51.0,74.0,19.0,55.0,0.0,0.0,51.0
8477416,2023,Oliver Bjorkstrand,SEA,R,25,83.0,56.0,88.0,77.0,36.0,86.0,63.0,0.0,79.0,88.0
8474870,2023,Tyler Johnson,CHI,C,31,49.0,13.0,5.0,7.0,35.0,31.0,35.0,0.0,65.0,19.0
8476374,2023,Sean Kuraly,CBJ,C,29,39.0,51.0,12.0,29.0,88.0,9.0,66.0,56.0,0.0,30.0
8478051,2023,Max Willman,NJD,C,23,3.0,24.0,9.0,3.0,78.0,45.0,100.0,0.0,0.0,2.0
8478569,2023,Noel Acciari,PIT,C,19,29.0,12.0,10.0,5.0,87.0,45.0,27.0,79.0,0.0,11.0
8481237,2023,Kyle MacLean,NYI,C,15,15.0,31.0,77.0,33.0,84.0,86.0,86.0,0.0,0.0,29.0
8476329,2023,Travis Boyd,ARI,C,27,3.0,53.0,5.0,29.0,44.0,14.0,95.0,0.0,0.0,9.0
8481580,2023,Connor McMichael,WSH,C,17,77.0,52.0,37.0,35.0,20.0,27.0,40.0,35.0,0.0,55.0
8476905,2023,Chandler Stephenson,VGK,C,14,69.0,32.0,8.0,34.0,18.0,88.0,69.0,33.0,7.0,43.0
8479994,2023,Jaret Anderson-Dolan,NSH,C,11,15.0,19.0,20.0,32.0,82.0,15.0,4.0,0.0,0.0,9.0
8477934,2023,Leon Draisaitl,EDM,C,9,99.0,79.0,62.0,99.0,24.0,32.0,77.0,0.0,100.0,97.0
8474564,2023,Steven Stamkos,TBL,C,13,81.0,60.0,23.0,59.0,45.0,28.0,71.0,0.0,99.0,70.0
8482113,2023,Anton Lundell,FLA,C,5,65.0,57.0,73.0,80.0,37.0,21.0,28.0,0.0,0.0,71.0
8478078,2023,Rourke Chartier,OTT,C,26,15.0,12.0,88.0,35.0,61.0,96.0,14.0,0.0,0.0,23.0
8477409,2023,Carter Verhaeghe,FLA,C,5,78.0,98.0,76.0,97.0,35.0,17.0,79.0,0.0,85.0,93.0
8482148,2023,Hendrix Lapierre,WSH,C,17,26.0,37.0,30.0,25.0,27.0,92.0,94.0,0.0,0.0,25.0
8479772,2023,Zack MacEwen,OTT,R,26,6.0,14.0,57.0,14.0,95.0,0.0,71.0,0.0,0.0,5.0
8475714,2023,Calle Jarnkrok,TOR,C,10,35.0,71.0,31.0,70.0,53.0,59.0,37.0,0.0,0.0,53.0
8470604,2023,Jeff Carter,PIT,C,19,36.0,12.0,30.0,14.0,67.0,26.0,39.0,0.0,20.0,16.0
8471214,2023,Alex Ovechkin,WSH,L,17,88.0,65.0,7.0,44.0,75.0,56.0,54.0,0.0,58.0,71.0
8478421,2023,A.J. Greer,CGY,L,24,24.0,27.0,40.0,29.0,86.0,16.0,43.0,0.0,0.0,20.0
8477451,2023,Ryan Hartman,MIN,R,20,63.0,67.0,60.0,60.0,46.0,26.0,49.0,0.0,45.0,66.0
8482153,2023,Brendan Brisson,VGK,C,14,5.0,56.0,51.0,59.0,46.0,45.0,36.0,0.0,0.0,29.0
8479542,2023,Brandon Hagel,TBL,L,13,97.0,90.0,62.0,87.0,24.0,52.0,48.0,86.0,0.0,97.0
8477496,2023,Elias Lindholm,VAN,C,6,73.0,28.0,47.0,38.0,48.0,55.0,23.0,38.0,28.0,51.0
8478493,2023,Joel Eriksson Ek,MIN,C,20,74.0,88.0,89.0,91.0,75.0,48.0,51.0,5.0,84.0,91.0
8478427,2023,Sebastian Aho,CAR,C,3,86.0,86.0,74.0,92.0,18.0,61.0,70.0,91.0,95.0,95.0
8475193,2023,Tomas Tatar,SEA,L,25,47.0,52.0,49.0,49.0,31.0,69.0,49.0,0.0,0.0,50.0
8477940,2023,Nikolaj Ehlers,WPG,L,4,82.0,96.0,72.0,92.0,9.0,84.0,92.0,0.0,7.0,94.0
8475913,2023,Mark Stone,VGK,R,14,42.0,71.0,19.0,65.0,18.0,70.0,59.0,0.0,31.0,52.0
8482665,2023,Matty Beniers,SEA,C,25,89.0,22.0,86.0,54.0,23.0,74.0,45.0,0.0,31.0,71.0
8478542,2023,Evan Rodrigues,FLA,C,5,74.0,68.0,91.0,95.0,61.0,69.0,27.0,0.0,76.0,90.0
8477942,2023,Kevin Fiala,LAK,L,12,92.0,88.0,98.0,98.0,28.0,20.0,56.0,0.0,80.0,98.0
8475235,2023,Nicolas Deslauriers,PHI,L,21,24.0,10.0,71.0,11.0,100.0,1.0,4.0,0.0,0.0,14.0
8482172,2023,Landon Slaggert,CHI,L,31,4.0,12.0,3.0,1.0,61.0,91.0,37.0,0.0,0.0,2.0
8475151,2023,Kyle Palmieri,NYI,C,15,82.0,85.0,21.0,70.0,47.0,91.0,58.0,0.0,78.0,84.0
8474884,2023,Mike Hoffman,SJS,C,32,45.0,7.0,7.0,8.0,14.0,15.0,70.0,0.0,0.0,11.0
8476461,2023,Sean Couturier,PHI,C,21,70.0,57.0,87.0,89.0,35.0,24.0,15.0,0.0,12.0,76.0
8478403,2023,Jack Eichel,VGK,C,14,55.0,96.0,81.0,89.0,9.0,96.0,73.0,31.0,60.0,85.0
8473422,2023,Nick Foligno,CHI,L,31,65.0,23.0,37.0,19.0,83.0,15.0,21.0,0.0,55.0,38.0
8482074,2023,Connor Zary,CGY,C,24,49.0,63.0,79.0,72.0,14.0,79.0,91.0,0.0,7.0,64.0
8477503,2023,Max Domi,TOR,C,10,66.0,74.0,17.0,62.0,32.0,7.0,53.0,0.0,0.0,60.0
8475784,2023,Jeff Skinner,BUF,L,22,63.0,83.0,10.0,48.0,8.0,69.0,73.0,0.0,71.0,63.0
8478099,2023,Kevin Labanc,SJS,R,32,24.0,11.0,8.0,10.0,70.0,30.0,23.0,0.0,0.0,6.0
8478498,2023,Jake DeBrusk,BOS,L,7,76.0,73.0,65.0,62.0,56.0,58.0,30.0,80.0,54.0,80.0
8481751,2023,Lukas Rousek,BUF,R,22,3.0,1.0,68.0,14.0,12.0,75.0,28.0,0.0,0.0,5.0
8482175,2023,JJ Peterka,BUF,R,22,91.0,92.0,44.0,71.0,7.0,93.0,90.0,0.0,14.0,90.0
8480014,2023,Gabriel Vilardi,WPG,C,4,35.0,84.0,16.0,56.0,5.0,95.0,80.0,0.0,73.0,54.0
8475798,2023,Mikael Granlund,SJS,C,32,74.0,32.0,4.0,17.0,31.0,58.0,58.0,8.0,38.0,39.0
8481557,2023,Matt Boldy,MIN,L,20,79.0,90.0,95.0,95.0,6.0,25.0,84.0,0.0,93.0,94.0
