name,cap_hit
Alexander Romanov,2500000
Dante Fabbro,2500000
Niko Mikkola,2500000
Miles Wood,2500000
Kyle Okposo,2500000
Casey Cizikas,2500000
Zemgus Girgensons,2500000
Jacob Middleton,2450000
Lars Eller,2450000
David Kampf,2400000
Jesper Fast,2400000
Garnet Hathaway,2375000
MacKenzie Blackwood,2350000
Jake Bean,2333333
Alexis Lafreniere,2325000
Jamie Drysdale,2300000
Trent Frederic,2300000
Dillon Dube,2300000
Nicolas Hague,2294150
Evgenii Dadonov,2250000
Oliver Ekman-Larsson,2250000
Philipp Kurashev,2250000
Dan Vladar,2200000
Mason Appleton,2166667
Ryan McLeod,2100000
Kaapo Kakko,2100000
Morgan Frost,2100000
Nick Bjugstad,2100000
Calle Jarnkrok,2100000
Frederick Gaudreau,2100000
Ethan Bear,2062500
Daniel Sprong,2000000
Ryan Donato,2000000
Erik Brannstrom,2000000
Alex Goligoski,2000000
Noel Acciari,2000000
Kevin Lankinen,2000000
Klim Kostin,2000000
Max Pacioretty,2000000
Morgan Geekie,2000000
Tyson Jost,2000000
Vladislav Namestnikov,2000000
Jeremy Lauzon,2000000
Pyotr Kochetkov,2000000
Conor Sheary,2000000
Nico Sturm,2000000
Marcus Johansson,2000000
Sean Monahan,1985000
Connor Ingram,1950000
Teddy Blueger,1900000
Ryan Poehling,1900000
Sonny Milano,1900000
Brett Howden,1900000
Jacob Bryson,1850000
Colin Miller,1850000
Jordan Martinook,1800000
Eric Comrie,1800000
Casey DeSmith,1800000
Isac Lundestrom,1800000
Barrett Hayton,1775000
Laurent Brossoit,1750000
Travis Boyd,1750000
Nicolas Deslauriers,1750000
Cal Clutterbuck,1750000
Yakov Trenin,1700000
Sean Durzi,1700000
Jake Evans,1700000
Tony DeAngelo,1675000
Blake Lizotte,1675000
Cameron York,1600000
Eric Robinson,1600000
Pius Suter,1600000
Jack McBain,1599999
Alexandre Texier,1525000
Kailer Yamamoto,1500000
Alex Nedeljkovic,1500000
Antti Raanta,1500000
Matt Martin,1500000
Jani Hakanpaa,1500000
Pheonix Copley,1500000
Tomas Tatar,1500000
James Reimer,1500000
Oskar Sundqvist,1500000
Fabian Zetterlund,1450000
Eeli Tolvanen,1450000
Samuel Ersson,1450000
Jordan Harris,1400000
Timothy Liljegren,1400000
William Carrier,1400000
Michael McLeod,1400000
Keegan Kolesar,1400000
Philippe Myers,1400000
Dylan Samberg,1400000
Simon Benoit,1350000
Nathan Bastian,1350000
Morgan Barron,1350000
Ryan Reaves,1350000
Bobby McMann,1350000
Nic Dowd,1300000
Kevin Rooney,1300000
Carl Grundstrom,1300000
Max Jones,1295000
Josh Brown,1275000
Jonathan Quick,1275000
Jarred Tinordi,1250000
Nicolai Knyzhov,1250000
Daniil Miromanov,1250000
Zach Bogosian,1250000
Frank Nazar,1250000
Alexei Toropchenko,1250000
Matt Benning,1250000
Nicolas Aube-Kubel,1225000
Colin Blackwell,1200000
Joey Daccord,1200000
Jon Merrill,1200000
Lukas Reichel,1200000
Sam Lafferty,1150000
Kurtis MacDermid,1150000
Nicklaus Perbix,1125000
Christian Fischer,1125000
Nick Cousins,1100000
Marc Staal,1100000
Mathieu Olivier,1100000
Brendan Smith,1100000
Kyle Burroughs,1100000
Rem Pitlick,1100000
Ross Johnston,1100000
Nils Hoglander,1100000
Troy Stecher,1100000
Anthony Stolarz,1100000
Charlie Lindgren,1100000
Brandon Duhaime,1100000
Travis Hamonic,1100000
Justin Danforth,1100000
Conor Timmins,1100000
Rafael Harvey-Pinard,1100000
Filip Zadina,1100000
Daniil Tarasov,1050000
Kevin Bahl,1050000
Steven Lorentz,1050000
Kevin Shattenkirk,1050000
Logan O'Connor,1050000
Mike Reilly,1000000
David Rittich,1000000
Curtis Lazar,1000000
Logan Stanley,1000000
Scott Wedgewood,1000000
Dmitry Kulikov,1000000
Sammy Blais,1000000
Pat Maroon,1000000
Tomas Nosek,1000000
Andreas Englund,1000000
James van Riemsdyk,1000000
Kevin Stenlund,1000000
Mattias Janmark,1000000
Martin Pospisil,1000000
Cam Talbot,1000000
Juuso Valimaki,1000000
Milan Lucic,1000000
Cole Smith,1000000
Vasily Podkolzin,1000000
Rasmus Kupari,1000000
Craig Smith,1000000
Ben Hutton,975000
Darren Raddysh,975000
Arvid Soderblom,962500
Cutter Gauthier,950000
Robert Bortuzzo,950000
Adam Fantilli,950000
Lane Hutson,950000
Ivan Miroshnichenko,950000
Cole Guttman,950000
Zach Benson,950000
Juraj Slafkovský,950000
Connor Bedard,950000
Logan Cooley,950000
Leo Carlsson,950000
Gavin Brindley,950000
Gustav Lindstrom,950000
Collin Graf,941667
Cole Sillinger,925000
Kirill Marchenko,925000
Michael Kesselring,925000
Dylan Holloway,925000
Nils Lundkvist,925000
Lucas Raymond,925000
Jack Drury,925000
Yaroslav Askarov,925000
Anton Lundell,925000
Jonatan Berggren,925000
Braden Schneider,925000
Brendan Brisson,925000
Matt Coronato,925000
Nikita Nesterenko,925000
Jesper Wallstedt,925000
Matthew Samoskevich,925000
Justin Barron,925000
Kent Johnson,925000
Bobby Brink,925000
Georgi Merkulov,925000
Mads Sogaard,925000
Brock Faber,925000
John Beecher,925000
Jackson LaCombe,925000
Marat Khusnutdinov,925000
Matthew Knies,925000
Josh Doan,925000
Josh Mahura,925000
Mason Lohrei,925000
Jordan Oesterle,925000
Spencer Stastney,925000
Filip Roos,925000
Dimitri Voronkov,925000
Luke Hughes,925000
Ryan Johnson,925000
Sam Colangelo,925000
Devon Levi,925000
Drew O'Connor,925000
Cole McWard,922500
Simon Nemec,918333
Pavel Mintyukov,918333
Kevin Korchinski,918333
David Jiricek,918333
Bradly Nadeau,918333
Scott Morrow,916667
Thomas Bordeleau,916667
Wyatt Kaiser,916667
Tyler Kleven,916667
Henry Thrun,912500
Landon Slaggert,912500
Georgii Romanov,910000
Jackson Blake,905833
Emil Andrae,903333
Matt Nieto,900000
Michael McCarron,900000
Emil Bemstrom,900000
Alex Lyon,900000
Derek Ryan,900000
Ty Dellandrea,900000
Matthew Beniers,897500
Emil Heineman,897500
Mikael Pyyhtia,897500
Ryker Evans,897500
Aku Raty,896250
Cole Perfetti,894167
Seth Jarvis,894167
Dawson Mercer,894167
Victor Soderstrom,894167
Quinton Byfield,894167
Arthur Kaliyev,894167
Adam Beckman,894167
Alex Turcotte,894167
Moritz Seider,894167
Roby Jarventie,894167
Mason McTavish,894167
Wyatt Johnston,894167
Alexander Holtz,894167
Mavrik Bourque,894167
Isak Rosén,894167
Shakir Mukhamadullin,894167
Simon Edvinsson,894167
Dylan Guenther,894167
Cayden Primeau,890000
Janis Jérôme Moser,886667
Jiri Kulich,886666
Brad Lambert,886666
Liam Öhgren,886666
Matthew Savoie,886666
Shane Wright,886666
Nikolas Matinpalo,885000
Adam Ginning,883750
Linus Karlsson,883750
Nikita Chibrikov,875833
Alex Laferriere,875000
Logan Mailloux,875000
Martin Jones,875000
Raphael Lavoie,874125
Oliver Wahlstrom,874125
Yan Kuznetsov,870000
Ondrej Pavel,870000
Waltteri Merela,870000
Cole Schwindt,870000
Hardy Haman Aktell,870000
Emil Lilleberg,870000
Pierrick Dube,870000
Logan Morrison,870000
Jason Polin,870000
Jiri Smejkal,870000
Matthew Poitras,870000
Magnus Chrona,867500
Jayden Struble,867500
Maxwell Crozier,867500
Tristan Luneau,865000
Thomas Harley,863334
Jakob Pelletier,863334
Philip Tomasino,863334
Peyton Krebs,863334
Nolan Foote,863334
Connor McMichael,863334
Simon Holmstrom,863334
Philip Broberg,863334
Jack Quinn,863334
Brandt Clarke,863334
Zachary Bolduc,863334
William Eklund,863334
Tyson Foerster,863334
Kaiden Guhle,863334
Oskar Olausson,863334
Joseph Woll,766666
Connor Dewar,800000
Nicholas Robertson,850000
